text_id	sentence_id	emotion
ISEAR_0	0	joy
ISEAR_1	1	fear
ISEAR_2	2	anger
ISEAR_3	3	sadness
ISEAR_4	4	disgust
ISEAR_5	5	shame
ISEAR_6	6	guilt
ISEAR_7	7	joy
ISEAR_8	8	fear
ISEAR_9	9	anger
ISEAR_10	10	sadness
ISEAR_11	11	disgust
ISEAR_12	12	shame
ISEAR_13	13	guilt
ISEAR_14	14	joy
ISEAR_15	15	fear
ISEAR_16	16	anger
ISEAR_17	17	sadness
ISEAR_18	18	disgust
ISEAR_19	19	shame
ISEAR_20	20	guilt
ISEAR_21	21	joy
ISEAR_22	22	fear
ISEAR_23	23	guilt
ISEAR_24	24	joy
ISEAR_25	25	fear
ISEAR_26	26	anger
ISEAR_27	27	sadness
ISEAR_28	28	disgust
ISEAR_29	29	shame
ISEAR_30	30	guilt
ISEAR_31	31	joy
ISEAR_32	32	fear
ISEAR_33	33	anger
ISEAR_34	34	sadness
ISEAR_35	35	disgust
ISEAR_36	36	shame
ISEAR_37	37	guilt
ISEAR_38	38	joy
ISEAR_39	39	fear
ISEAR_40	40	anger
ISEAR_41	41	sadness
ISEAR_42	42	disgust
ISEAR_43	43	shame
ISEAR_44	44	guilt
ISEAR_45	45	joy
ISEAR_46	46	fear
ISEAR_47	47	anger
ISEAR_48	48	sadness
ISEAR_49	49	disgust
ISEAR_50	50	shame
ISEAR_51	51	guilt
ISEAR_52	52	joy
ISEAR_53	53	fear
ISEAR_54	54	sadness
ISEAR_55	55	disgust
ISEAR_56	56	shame
ISEAR_57	57	guilt
ISEAR_58	58	joy
ISEAR_59	59	fear
ISEAR_60	60	anger
ISEAR_61	61	sadness
ISEAR_62	62	disgust
ISEAR_63	63	shame
ISEAR_64	64	guilt
ISEAR_65	65	joy
ISEAR_66	66	fear
ISEAR_67	67	anger
ISEAR_68	68	sadness
ISEAR_69	69	disgust
ISEAR_70	70	shame
ISEAR_71	71	guilt
ISEAR_72	72	joy
ISEAR_73	73	fear
ISEAR_74	74	anger
ISEAR_75	75	sadness
ISEAR_76	76	disgust
ISEAR_77	77	shame
ISEAR_78	78	guilt
ISEAR_79	79	joy
ISEAR_80	80	fear
ISEAR_81	81	anger
ISEAR_82	82	sadness
ISEAR_83	83	disgust
ISEAR_84	84	shame
ISEAR_85	85	guilt
ISEAR_86	86	joy
ISEAR_87	87	fear
ISEAR_88	88	anger
ISEAR_89	89	sadness
ISEAR_90	90	disgust
ISEAR_91	91	shame
ISEAR_92	92	guilt
ISEAR_93	93	joy
ISEAR_94	94	fear
ISEAR_95	95	anger
ISEAR_96	96	sadness
ISEAR_97	97	disgust
ISEAR_98	98	shame
ISEAR_99	99	guilt
ISEAR_100	100	joy
ISEAR_101	101	fear
ISEAR_102	102	anger
ISEAR_103	103	sadness
ISEAR_104	104	disgust
ISEAR_105	105	shame
ISEAR_106	106	guilt
ISEAR_107	107	joy
ISEAR_108	108	fear
ISEAR_109	109	anger
ISEAR_110	110	sadness
ISEAR_111	111	shame
ISEAR_112	112	guilt
ISEAR_113	113	joy
ISEAR_114	114	fear
ISEAR_115	115	anger
ISEAR_116	116	sadness
ISEAR_117	117	disgust
ISEAR_118	118	shame
ISEAR_119	119	guilt
ISEAR_120	120	joy
ISEAR_121	121	fear
ISEAR_122	122	anger
ISEAR_123	123	sadness
ISEAR_124	124	disgust
ISEAR_125	125	shame
ISEAR_126	126	guilt
ISEAR_127	127	joy
ISEAR_128	128	fear
ISEAR_129	129	anger
ISEAR_130	130	sadness
ISEAR_131	131	disgust
ISEAR_132	132	shame
ISEAR_133	133	guilt
ISEAR_134	134	disgust
ISEAR_135	135	shame
ISEAR_136	136	guilt
ISEAR_137	137	joy
ISEAR_138	138	fear
ISEAR_139	139	anger
ISEAR_140	140	sadness
ISEAR_141	141	disgust
ISEAR_142	142	shame
ISEAR_143	143	guilt
ISEAR_144	144	joy
ISEAR_145	145	fear
ISEAR_146	146	anger
ISEAR_147	147	sadness
ISEAR_148	148	disgust
ISEAR_149	149	shame
ISEAR_150	150	guilt
ISEAR_151	151	joy
ISEAR_152	152	fear
ISEAR_153	153	anger
ISEAR_154	154	sadness
ISEAR_155	155	disgust
ISEAR_156	156	joy
ISEAR_157	157	fear
ISEAR_158	158	anger
ISEAR_159	159	sadness
ISEAR_160	160	disgust
ISEAR_161	161	shame
ISEAR_162	162	guilt
ISEAR_163	163	joy
ISEAR_164	164	fear
ISEAR_165	165	anger
ISEAR_166	166	sadness
ISEAR_167	167	disgust
ISEAR_168	168	shame
ISEAR_169	169	guilt
ISEAR_170	170	joy
ISEAR_171	171	fear
ISEAR_172	172	anger
ISEAR_173	173	sadness
ISEAR_174	174	disgust
ISEAR_175	175	shame
ISEAR_176	176	guilt
ISEAR_177	177	joy
ISEAR_178	178	anger
ISEAR_179	179	sadness
ISEAR_180	180	disgust
ISEAR_181	181	shame
ISEAR_182	182	guilt
ISEAR_183	183	joy
ISEAR_184	184	fear
ISEAR_185	185	anger
ISEAR_186	186	sadness
ISEAR_187	187	disgust
ISEAR_188	188	shame
ISEAR_189	189	guilt
ISEAR_190	190	joy
ISEAR_191	191	fear
ISEAR_192	192	anger
ISEAR_193	193	joy
ISEAR_194	194	fear
ISEAR_195	195	anger
ISEAR_196	196	sadness
ISEAR_197	197	shame
ISEAR_198	198	guilt
ISEAR_199	199	joy
ISEAR_200	200	fear
ISEAR_201	201	anger
ISEAR_202	202	sadness
ISEAR_203	203	disgust
ISEAR_204	204	shame
ISEAR_205	205	guilt
ISEAR_206	206	joy
ISEAR_207	207	fear
ISEAR_208	208	anger
ISEAR_209	209	sadness
ISEAR_210	210	joy
ISEAR_211	211	fear
ISEAR_212	212	anger
ISEAR_213	213	sadness
ISEAR_214	214	guilt
ISEAR_215	215	joy
ISEAR_216	216	fear
ISEAR_217	217	anger
ISEAR_218	218	joy
ISEAR_219	219	fear
ISEAR_220	220	anger
ISEAR_221	221	sadness
ISEAR_222	222	guilt
ISEAR_223	223	sadness
ISEAR_224	224	joy
ISEAR_225	225	fear
ISEAR_226	226	anger
ISEAR_227	227	sadness
ISEAR_228	228	disgust
ISEAR_229	229	shame
ISEAR_230	230	guilt
ISEAR_231	231	joy
ISEAR_232	232	fear
ISEAR_233	233	anger
ISEAR_234	234	sadness
ISEAR_235	235	disgust
ISEAR_236	236	shame
ISEAR_237	237	guilt
ISEAR_238	238	joy
ISEAR_239	239	fear
ISEAR_240	240	anger
ISEAR_241	241	sadness
ISEAR_242	242	disgust
ISEAR_243	243	shame
ISEAR_244	244	guilt
ISEAR_245	245	joy
ISEAR_246	246	fear
ISEAR_247	247	anger
ISEAR_248	248	sadness
ISEAR_249	249	disgust
ISEAR_250	250	shame
ISEAR_251	251	guilt
ISEAR_252	252	joy
