text_id	sentence_id	sentence
ISEAR_0	0	"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly."
ISEAR_1	1	"Every time I imagine that someone I love or I could contact a  
serious illness, even death."
ISEAR_2	2	"When I had been obviously unjustly treated and had no possibility  
of elucidating this."
ISEAR_3	3	"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time."
ISEAR_4	4	"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating."
ISEAR_5	5	"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings."
ISEAR_6	6	"I feel guilty when when I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered."
ISEAR_7	7	"After my girlfriend had taken her exam we went to her parent's  
place."
ISEAR_8	8	When, for the first time I realized the meaning of death.
ISEAR_9	9	"When a car is overtaking another and I am forced to drive off the  
road."
ISEAR_10	10	"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand."
ISEAR_11	11	When I found a bristle in the liver paste tube.
ISEAR_12	12	"When I was tired and unmotivated, I shouted at my girlfriend and  
and brought up negative sides of her character which are actually  
not so important."
ISEAR_13	13	"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time."
ISEAR_14	14	When I pass an examination which I did not think I did well.
ISEAR_15	15	"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident."
ISEAR_16	16	When one is unjustly accused of something one has not done.
ISEAR_17	17	When one's studies seem hopelessly difficult and uninteresting.  
ISEAR_18	18	"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted."
ISEAR_19	19	When one has been unjust, stupid towards someone else. 
ISEAR_20	20	When one has neglected or been unjust to a good friend.
ISEAR_21	21	Passing an exam I did not expect to pass.
ISEAR_22	22	"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable."
ISEAR_23	23	When excuses are necessary and I get out of doing it myself.
ISEAR_24	24	When I had my children.
ISEAR_25	25	"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down."
ISEAR_26	26	When my partner was attacked and lost three teeth.
ISEAR_27	27	"When I see children on T.V from areas devastated by drought and  
war."
ISEAR_28	28	When I nearly walked on a blindworm and then saw it crawl away.
ISEAR_29	29	"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me."
ISEAR_30	30	"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing."
ISEAR_31	31	When my child was born.
ISEAR_32	32	"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head."
ISEAR_33	33	Unjust accusations directed at me and my way of acting, by someone close to me.  
ISEAR_34	34	Failing an examination.
ISEAR_35	35	"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness."
ISEAR_36	36	When, as an adult I have been caught lying or behaving badly.
ISEAR_37	37	"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am."
ISEAR_38	38	When I saw a person I had not seen for a long time.
ISEAR_39	39	When, as a child, I was nearly knocked down by a car.
ISEAR_40	40	"When I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way."
ISEAR_41	41	"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else."
ISEAR_42	42	"When one learns through the mass media all the wars and killing  
going on in the world."
ISEAR_43	43	I lied, to be precise I cancelled a meeting with a good friend.
ISEAR_44	44	When one lets friends down
ISEAR_45	45	When I was accepted for a course on finance and accounting.
ISEAR_46	46	"A bus drove over my right leg.  The event itself was not very  
frightening but when I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened."
ISEAR_47	47	"At my Summer job, nobody looked after me in particular and I had  
to learn all on my own."
ISEAR_48	48	When I was not accepted as a student in finance and accounting.
ISEAR_49	49	"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted."
ISEAR_50	50	"My elder brother and I have not always had a good relationship  
and I feel ashamed of myself as I do not call him to talk to him  
nowadays."
ISEAR_51	51	"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him."
ISEAR_52	52	Passed an exam by 2 points.
ISEAR_53	53	In a cottage in a large forest, I was alone for a while in the  dark.
ISEAR_54	54	Railway station good-bye.
ISEAR_55	55	"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter."
ISEAR_56	56	"I told a friend that I was going to a party and he would not  
enjoy himself if he came along.  He understood  that he would not  
have fitted in and there was something in that."
ISEAR_57	57	"I was the reason behind the break-up of my friend's relationship  
with his girlfriend.  She finished with him."
ISEAR_58	58	I passed an exam that I was absolutely certain that I had failed.
ISEAR_59	59	"On the way back from Denmark with a friend on a small yatch,  
there was a storm and my friend was blown overboard;  I was very  
scared till I managed to get him back onboard."
ISEAR_60	60	I locked myself out.
ISEAR_61	61	I missed the last tram home and had to walk in the pouring rain.
ISEAR_62	62	I found some worms in the food and I had obviously eaten some.
ISEAR_63	63	"My friend was so intoxicated that the police came and took him  
away, and they later contacted his parents."
ISEAR_64	64	I hapened to overhear something which I was not meant to hear.
ISEAR_65	65	When I won a trip to Greece in a competition.
ISEAR_66	66	"When I am out in the dark and a suspicious looking character  
comes towards me."
ISEAR_67	67	"At work, when an elderly man complained unjustifiably about me and  
distrusted me."
ISEAR_68	68	When I had not understood anything after a lecture.
ISEAR_69	69	When an alcoholic stood dribbling over a food counter.
ISEAR_70	70	"When my friend and I were discussing the good looks of a guy we  
realized that he had been listening."
ISEAR_71	71	"When I complained about a colleague to the manager and he told  
her that someone had complained; this colleague came to me  
believing that I liked her."
ISEAR_72	72	"At a friend's birthday party with some of my closest friends.  It  
was all very pleasant and one could say that I was happy to have  
such good friends."
ISEAR_73	73	"On the way home one Friday night in the heavy rain the car  
acquaplanned.  I lost contact with the road surface for a few  
seconds."
ISEAR_74	74	Mad at my dad.
ISEAR_75	75	A case of unrequited love.
ISEAR_76	76	A bad smelling cucumber.
ISEAR_77	77	Nearly caught masturbating.
ISEAR_78	78	I do not help out enough at home.
ISEAR_79	79	I felt very happy when I won the football pools.
ISEAR_80	80	"When I flew from Athens to Copenhagen after a holiday.  The plane  
was caught in a storm and it began to shake and I thouhght that  
we were going to crash."
ISEAR_81	81	When someone stole my bike.
ISEAR_82	82	"When I saw the list of books to read for an acccouting course, I  
thought "" Oh God how will I ever manaage it!"""
